传播学系,黄佩,教授,教师头像图片\黄佩_0.jpg
传播学系,刘胜枝,教授,教师头像图片\刘胜枝_1.jpg
传播学系,王文宏,教授,教师头像图片\王文宏_2.jpg
传播学系,张蓝姗,教授,教师头像图片\张蓝姗_3.jpg
数字媒体系,贾云鹏,教授,教师头像图片\贾云鹏_4.jpg
数字媒体系,高立,教授,教师头像图片\高立_5.jpg
数字媒体系,李学明,教授,教师头像图片\李学明_6.jpg
数字媒体系,张凤全,教授,教师头像图片\张凤全_7.jpg
设计系,侯文军,教授,教师头像图片\侯文军_8.jpg
艺术教研中心,李霞,教授,教师头像图片\李霞_9.jpg
设计系,郗小超,副教授,教师头像图片\郗小超_0.jpg
设计系,谭剑,副教授,教师头像图片\谭剑_1.jpg
设计系,吕菲,副教授,教师头像图片\吕菲_2.jpg
设计系,李铁萌,副教授,教师头像图片\李铁萌_3.jpg
设计系,高盟,副教授,教师头像图片\高盟_4.jpg
设计系,吕美玉,副教授,教师头像图片\吕美玉_5.jpg
设计系,盛卿,副教授,教师头像图片\盛卿_6.jpg
设计系,孙炜,副教授,教师头像图片\孙炜_7.jpg
设计系,由振伟,副教授,教师头像图片\由振伟_8.jpg
数字媒体系,汪晓春,副教授,教师头像图片\汪晓春_9.jpg
数字媒体系,柳杨,副教授,教师头像图片\柳杨_10.jpg
数字媒体系,符强,副教授,教师头像图片\符强_11.jpg
数字媒体系,李萌,副教授,教师头像图片\李萌_12.jpg
数字媒体系,兰名荥,副教授,教师头像图片\兰名荥_13.jpg
数字媒体系,张跃,副教授,教师头像图片\张跃_14.jpg
传播学系,高崇,副教授,教师头像图片\高崇_15.jpg
传播学系,黄淼,副教授,教师头像图片\黄淼_16.jpg
传播学系,梁爽,副教授,教师头像图片\梁爽_17.jpg
传播学系,黄传武,副教授,教师头像图片\黄传武_18.jpg
传播学系,蒋淑媛,副教授,教师头像图片\蒋淑媛_19.jpg
传播学系,梁刚,副教授,教师头像图片\梁刚_20.jpg
传播学系,刘剑,副教授,教师头像图片\刘剑_21.jpg
传播学系,任乐毅,副教授,教师头像图片\任乐毅_22.jpg
传播学系,万柳,副教授,教师头像图片\万柳_23.jpg
艺术教研中心,王海智,副教授,教师头像图片\王海智_24.jpg
艺术教研中心,郑晓慧,副教授,教师头像图片\郑晓慧_25.jpg
艺术教研中心,郭艺涵,讲师,教师头像图片\郭艺涵_0.jpg
艺术教研中心,刘晓勇,讲师,教师头像图片\刘晓勇_1.jpg
艺术教研中心,马辉,讲师,教师头像图片\马辉_2.jpg
艺术教研中心,马梦鹤,讲师,教师头像图片\马梦鹤_3.jpg
数字媒体系,赵天奇,讲师,教师头像图片\赵天奇_4.jpg
数字媒体系,张宪林,讲师,教师头像图片\张宪林_5.jpg
数字媒体系,王楠,讲师,教师头像图片\王楠_6.jpg
数字媒体系,曹璐,讲师,教师头像图片\曹璐_7.jpg
数字媒体系,郭宁,讲师,教师头像图片\郭宁_8.jpg
数字媒体系,李荣锋,讲师,教师头像图片\李荣锋_9.jpg
数字媒体系,陈思,讲师,教师头像图片\陈思_10.jpg
数字媒体系,孙尚,讲师,教师头像图片\孙尚_11.jpg
数字媒体系,周博,讲师,教师头像图片\周博_12.jpg
数字媒体系,张若宸,讲师,教师头像图片\张若宸_13.jpg
数字媒体系,王希萌,讲师,教师头像图片\王希萌_14.jpg
数字媒体系,程希,讲师,教师头像图片\程希_15.jpg
传播学系,兰朵,讲师,教师头像图片\兰朵_16.jpg
传播学系,陈曲,讲师,教师头像图片\陈曲_17.jpg
设计系,秦宪刚,讲师,教师头像图片\秦宪刚_18.jpg